"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"178",1058,"15260 KUTZTOWN RD","KUTZTOWN","PA",19530,"15260 Kutztown Rd, Kutztown, PA 19530","PA"
"179",1062,"1530 LOWER DALLAS HWY","DALLAS","NC",28054,"1530 Lower Dallas Hwy, Gastonia, NC 28054","GA"
"180",1077,"280 N BROAD ST","CARLINVILLE","IL",62626,"280 N Broad St, Carlinville, IL 62626","IL"
"181",1079,"702 W BROADWAY ST","CENTRALIA","IL",62801,"702 W Broadway, Centralia, IL 62801","IL"
"182",1081,"1106 W EGYPTIAN AVE","CHRISTOPHER","IL",62822,"1106 Egyptian Ave, Christopher, IL 62822","IL"
"183",1091,"1217 US HIGHWAY 45 N","ELDORADO","IL",62930,"1217 US-45, Eldorado, IL 62930","IL"
"184",1094,"210 BASTON RD","MARTINEZ","GA",30907,"210 Baston Rd, Augusta, GA 30907","GA"
"185",1107,"844 N JEFFERSON ST","MASCOUTAH","IL",62258,"844 N Jefferson St, Mascoutah, IL 62258","IL"
"186",1115,"648 W HIGHWAY 50","OFALLON","IL",62269,"648 W Hwy 50, O'Fallon, IL 62269","IL"
"187",1123,"2105 W MAIN ST","SHELBYVILLE","IL",62565,"2105 W Main St, Shelbyville, IL 62565","KY"
"188",1127,"205 E SOUTHLINE RD","TUSCOLA","IL",61953,"205 E Southline Rd, Tuscola, IL 61953","IL"
"189",1131,"126 N STATE ST","WESTVILLE","IL",61883,"126 N State St, Westville, IL 61883","IL"
"190",1142,"500 W BOYCE ST","MANNING","SC",29102,"500 W Boyce St, Manning, SC 29102","SC"
"191",1147,"1600 A ST NE","LINTON","IN",47441,"1600 A St NE, Linton, IN 47441","IN"
"192",1153,"1208 STATE ROAD 114 W","NORTH MANCHESTER","IN",46962,"1208 W State Rd 114, North Manchester, IN 46962","IN"
"193",1154,"20 E WASHINGTON AVE","PERU","IN",46970,"20 E Washington Ave, Peru, IN 46970","IN"
"194",1161,"1001 N 8TH ST","VINCENNES","IN",47591,"1001 N 8th St, Vincennes, IN 47591","IN"
"195",1171,"1001 SW FAIRLAWN RD","TOPEKA","KS",66604,"1001 SW Fairlawn Rd, Topeka, KS 66604","KS"
"196",1174,"218 S 2ND ST","CENTRAL CITY","KY",42330,"218 S 2nd St, Central City, KY 42330","KY"
